model,task_type,accuracy,precision,recall,f1_score,auc,best_params,best_cv_score
random_forest,classification,0.9736842105263158,0.9747368421052632,0.9736842105263158,0.9734654095556351,0.9928902116402116,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",0.9646693108955915
logistic_regression,classification,0.9824561403508771,0.9829302987197724,0.9824561403508771,0.9823623542652152,0.9966931216931216,"{'C': 1, 'max_iter': 1000}",0.9735520109465787
svm,classification,0.9736842105263158,0.9747368421052632,0.9736842105263158,0.9734654095556351,0.9930555555555556,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.9757813563987536
knn,classification,0.9649122807017544,0.966759002770083,0.9649122807017544,0.9645092460881936,0.9852843915343916,"{'n_neighbors': 5, 'weights': 'uniform'}",0.9756082905636833
